id,count_id,item_id,count_quantity,confirm_status,location_id_at_count,counted_by,counted_at,notes,created_at,updated_at,created_by,updated_by,source_excel_rows
67,1,68,2,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,73
68,1,69,1,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,74
69,1,70,2,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,75
70,1,71,1,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,76
71,1,72,4,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,77
72,1,73,0,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,78
73,1,74,1,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,79
74,1,76,3,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,81
75,1,77,1,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,82
76,1,78,3,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,83
77,1,79,1,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,84
78,1,80,5,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,85
79,1,81,11,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,86
80,1,84,11,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,89
81,1,85,0,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,90
82,1,86,1,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,91
83,1,87,5,confirmed,10,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,92
84,1,88,28,confirmed,11,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,93
85,1,89,3,confirmed,11,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,94
86,1,90,3,confirmed,12,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,95
87,1,91,3,confirmed,11,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,96
88,1,92,3,confirmed,12,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,97
89,1,93,1,confirmed,11,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,98
90,1,94,19,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,99
91,1,95,1,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,100
92,1,96,1,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,101
93,2,3,6,confirmed,2,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,7
94,2,4,4,confirmed,2,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,8
95,2,5,4,confirmed,2,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,9
96,2,6,3,confirmed,2,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,10
97,2,8,1,confirmed,2,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,12
98,2,9,1,confirmed,2,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,13
99,2,11,1,confirmed,2,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,15
100,2,12,1,confirmed,2,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,16
101,2,13,1,confirmed,2,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,17
102,2,14,1,confirmed,2,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,18
103,2,20,1,confirmed,2,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,24
104,2,22,1,confirmed,3,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,26
105,2,25,1,confirmed,3,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,29
106,2,26,1,confirmed,3,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,30
107,2,27,1,confirmed,3,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,31
108,2,28,1,confirmed,3,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,32
109,2,29,1,confirmed,3,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,33
110,2,30,2,confirmed,4,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,34;35
111,2,31,1,confirmed,4,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,36
112,2,32,1,confirmed,4,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,37
113,2,34,1,confirmed,5,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,39
114,2,35,4,confirmed,5,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,40
115,2,36,2,confirmed,5,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,41
116,2,37,4,confirmed,5,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,42
117,2,38,1,confirmed,5,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,43
118,2,39,1,confirmed,5,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,44
119,2,42,1,confirmed,5,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,47
120,2,47,6,confirmed,7,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,52
121,2,48,1,confirmed,7,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,53
122,2,49,17,confirmed,7,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,54
123,2,50,3,confirmed,7,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,55
124,2,53,3,confirmed,8,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,58
125,2,54,2,confirmed,8,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,59
126,2,55,1,confirmed,1,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,60
127,2,56,1,confirmed,1,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,61
128,2,58,1,confirmed,1,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,63
129,2,60,1,confirmed,1,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,65
130,2,63,4,confirmed,9,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,68
131,2,64,25,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,69
132,2,65,22,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,70
133,2,67,13,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,72
