sheet,excel_row,品名,状態,管理No,保管場所(セル値),保管場所(結合補完),結合元,棚卸数(F),棚卸数2026/1/6(G),G結合補完,備考,I列(ヘッダなし)
シート1,95,キーボード（Ｄｅｌｌ）,新品,,ラック上から3段目中央,ラック上から3段目中央,,3,,,腎愛会様PC仕入時の特典,
シート1,96,マウス（NEC）,新品,,ラック上から2段目一番左,ラック上から2段目一番左,,3,,,腎愛会様PC仕入時の特典,
シート1,97,キーボード（NEC）,新品,,ラック上から3段目中央,ラック上から3段目中央,,3,,,腎愛会様PC仕入時の特典,
シート1,98,無線ルーター（buffalo,中古,,ラック上から2段目一番左,ラック上から2段目一番左,,1,,,エミフル様機器入替分,
シート1,99,Display to Mini Display,新品,,,,,19,19,19,ディスプレイ端子⇔ミニディスプレイ端子,井上新規記載【70のDisplayケーブルのこと？】
シート1,100,USB B タイプケーブル,中古,,,,,1,,,,井上新規記載
シート1,101,USBーA延長,中古,,,,,1,,,,井上新規記載
シート1,102,Cタイプケ変換,中古,,,,,,5,5,,
シート1,103,ACアダプタ：TOSHIBA PA3755U,中古,,,,,,1,1,,
シート1,104,ACアダプタ：TOSHIBA PA3714U,中古,,,,,,1,1,,
シート1,105,ACアダプタ：HYT-1207000,中古,,,,,,8,8,,
シート1,106,ACアダプタ：DEL HKA65NM201,中古,,,,,,1,1,,
シート1,107,ACアダプタ：DEL HA65NS5-00,中古,,,,,,1,1,,
シート1,108,ACアダプタ：DEL LA45NN140,中古,,,,,,1,1,,
シート1,109,ACアダプタ：ELECTRONICS,中古,,,,,,1,1,,
シート1,110,ACアダプタ：Lenovo ADLX45NCC2A,中古,,,,,,1,1,,
シート1,111,ACアダプタ：A12-040N2A,中古,,,,,,1,1,,
シート1,112,ACアダプタ：Canon K30359,中古,,,,,,1,1,,
シート1,113,ACアダプタ：J651-1903420DI,中古,,,,,,1,1,,
シート1,114,ハードディスクケース,中古,,,,,,6,6,,
客先備品余り等,5,恵会　ラック固定用器具,,,その他機器類,その他機器類,,数量有、要確認,,,,
客先備品余り等,6,恵会　眠りSCAN用 無線AP予備,10.1.40.235、10.11.40.238,,その他機器類,その他機器類,,2,,,,
